"name","num","m1","m1time","lp1","lp1time","l1","l1time","l2","l2time","lc1","lc1time","lc2","lc2time","lc3","lc3time","m2","m2time","m3","m3time","rcmax","rcmaxtime"
"heskia",38,31.1095,0.00689793,125.63,7.9155e-05,124.438,5.4121e-05,123,0.000972033,118,9.05991e-06,83,5.00679e-06,1,5.00679e-06,137.972,0.00394797,144.367,0.00507808,124.438,0.000658035
"heskia",39,29.8146,0.00558996,119.868,4.60148e-05,119.259,2.71797e-05,122,0.000633001,115,5.96046e-06,107,2.86102e-06,1,4.05312e-06,131.489,0.00349092,148.343,0.00576019,119.259,0.000411987
"heskia",40,28.6792,0.00626588,115.224,5.50747e-05,114.717,3.38554e-05,115,0.000615835,110,5.00679e-06,77,2.86102e-06,1,4.05312e-06,129.526,0.002671,144.059,0.00453615,114.717,0.000351191
"heskia",41,3.98814,0.0268869,28.466,6.19888e-05,27.878,5.91278e-05,29,0.000336885,26,6.91414e-06,26,3.09944e-06,1,4.05312e-06,29.1754,0.0309391,30.3353,0.0222788,27.917,0.000669956
"heskia",42,4.23823,0.0201042,30.4325,4.1008e-05,29.1951,3.40939e-05,34,0.000358105,34,6.91414e-06,34,2.86102e-06,28,3.8147e-06,32.5274,0.0360608,34.3068,0.0160551,29.6676,0.000827789
"heskia",43,3.28558,0.0234041,24.3896,6.00815e-05,22.9827,5.22137e-05,27,0.000349045,20,5.00679e-06,20,3.09944e-06,1,4.05312e-06,23.6736,0.0265028,29.3473,0.019444,22.9991,0.000628948
"heskia",44,3.82238,0.027715,27.595,4.81606e-05,26.717,4.41074e-05,28,0.000334978,24,6.91414e-06,21,3.8147e-06,24,5.00679e-06,27.1681,0.0396969,27.2906,0.0204539,26.7567,0.000738859
"heskia",45,3.93577,0.0308599,28.7578,6.60419e-05,27.4832,6.19888e-05,29,0.000371933,23,6.91414e-06,21,3.8147e-06,23,4.05312e-06,28.3126,0.0237539,31.4569,0.021503,27.5504,0.000907183
"heskia",46,3.30438,0.0328989,23.469,5.81741e-05,23.0973,5.91278e-05,26,0.000315905,24,5.96046e-06,24,4.05312e-06,21,4.05312e-06,23.7312,0.020813,25.0004,0.022171,23.1306,0.000741959
"heskia",47,3.18389,0.031503,22.5865,4.69685e-05,22.2871,4.48227e-05,23,0.000272989,20,5.00679e-06,19,3.09944e-06,1,4.05312e-06,22.4008,0.0201769,22.4286,0.018672,22.2873,0.000733852
"heskia",48,4.90455,0.0288689,36.3496,5.81741e-05,34.2931,5.19753e-05,40,0.000368118,40,5.00679e-06,40,3.8147e-06,29,3.8147e-06,34.8855,0.0272841,37.0545,0.021724,34.3319,0.000818968
"heskia",49,4.02332,0.031935,29.7666,6.60419e-05,27.9358,5.98431e-05,30,0.000412941,30,5.96046e-06,30,3.09944e-06,1,4.05312e-06,28.8022,0.016113,31.7005,0.015022,28.1632,0.000635147
"heskia",50,3.50944,0.0377269,26.3403,9.17912e-05,24.4103,8.67844e-05,28,0.000509977,21,1.19209e-05,18,5.00679e-06,21,5.96046e-06,25.5085,0.0327899,28.4636,0.02581,24.5661,0.00118709
"heskia",51,5.07372,0.0244248,39.9911,6.19888e-05,34.9895,5.60284e-05,42,0.000415087,30,7.86781e-06,25,4.05312e-06,1,4.05312e-06,36.3139,0.0139942,38.4402,0.0163381,35.516,0.000738144
"heskia",52,4.87019,0.0265,34.6242,5.79357e-05,34.0567,5.31673e-05,37,0.000383854,33,5.00679e-06,33,3.8147e-06,1,3.8147e-06,35.5086,0.017586,38.8439,0.013231,34.0913,0.000617981
"heskia",53,5.48474,0.0232649,41.6796,6.98566e-05,38.3693,6.07967e-05,44,0.000378847,37,7.15256e-06,37,4.05312e-06,1,4.05312e-06,38.7383,0.00803208,39.341,0.00801802,38.3932,0.000617027
"heskia",54,3.69933,0.024143,27.797,8.41618e-05,25.8182,8.60691e-05,27,0.000488997,30,8.82149e-06,30,5.96046e-06,22,5.96046e-06,26.9853,0.012553,27.0681,0.00979805,25.8953,0.00107718
