"name","num","time","value","nodes"
"wee-mag",20,NA,36,NA
"wee-mag",21,NA,47,NA
"wee-mag",22,NA,44,NA
"wee-mag",23,335.44,46,413306
"wee-mag",24,NA,48,NA
"wee-mag",25,NA,46,NA
"wee-mag",26,1380.49,45,2451944
"wee-mag",27,NA,52,NA
"wee-mag",28,NA,47,NA
"wee-mag",29,NA,44,NA
"wee-mag",30,NA,50,NA
"wee-mag",31,NA,49,NA
"wee-mag",32,NA,45,NA
"wee-mag",33,NA,49,NA
"wee-mag",34,NA,53,NA
"wee-mag",35,480.7,42,764090
"wee-mag",36,2917.52,46,5153338
"wee-mag",37,1771.34,38,3280165
"wee-mag",38,NA,44,NA
"wee-mag",39,NA,47,NA
"wee-mag",40,1762.06,39,3288474
"wee-mag",41,NA,10,NA
"wee-mag",42,NA,10,NA
"wee-mag",43,NA,10,NA
"wee-mag",44,NA,11,NA
"wee-mag",45,NA,10,NA
"wee-mag",46,NA,10,NA
"wee-mag",47,NA,11,NA
"wee-mag",48,NA,10,NA
"wee-mag",49,NA,9,NA
"wee-mag",50,NA,10,NA
"wee-mag",51,NA,12,NA
"wee-mag",52,117.308,9,92972
"wee-mag",53,NA,11,NA
"wee-mag",54,NA,12,NA
"wee-mag",55,NA,12,NA
"wee-mag",56,NA,12,NA
"wee-mag",57,2597.51,11,3636086
"wee-mag",58,NA,11,NA
"wee-mag",59,NA,13,NA
"wee-mag",60,NA,11,NA
"wee-mag",61,NA,16,NA
"wee-mag",62,7.18016,18,0
"wee-mag",63,NA,19,NA
"wee-mag",64,NA,17,NA
"wee-mag",65,NA,18,NA
"wee-mag",66,447.078,17,628503
"wee-mag",67,1666.68,18,2827580
"wee-mag",68,NA,15,NA
"wee-mag",69,NA,19,NA
"wee-mag",70,NA,20,NA
"wee-mag",71,NA,18,NA
"wee-mag",72,2080.71,16,4313678
"wee-mag",73,2718.05,17,4851199
"wee-mag",74,NA,20,NA
"wee-mag",75,NA,18,NA
"wee-mag",76,NA,16,NA
"wee-mag",77,NA,18,NA
"wee-mag",78,NA,17,NA
"wee-mag",79,NA,20,NA
"wee-mag",80,326.209,16,510987
"tonge",1,227.973,87,315568
"tonge",2,134.581,87,115882
"tonge",3,111.645,100,68808
"tonge",4,499.832,105,857886
"tonge",5,111.605,89,79401
"tonge",6,116.516,88,90611
"tonge",7,106.442,94,85588
"tonge",8,226.028,104,292576
"tonge",9,141.783,69,163275
"tonge",10,80.5387,83,9897
"tonge",11,111.891,110,81952
"tonge",12,235.333,108,365520
"tonge",13,113.009,103,76838
"tonge",14,111.457,93,96726
"tonge",15,111.985,89,106347
"tonge",16,214.569,100,312739
"tonge",17,93.498,120,39960
"tonge",18,132.61,112,124100
"tonge",19,178.702,119,214462
"tonge",20,138.084,113,143996
"tonge",21,667.642,158,1296823
"tonge",22,576.355,160,947072
"tonge",23,358.401,144,560066
"tonge",24,96.0162,147,36185
"tonge",25,1011.47,166,1816295
"tonge",26,259.093,161,301732
"tonge",27,204.006,146,232696
"tonge",28,483.041,176,674810
"tonge",29,250.749,182,314274
"tonge",30,161.19,153,176601
"tonge",31,631.327,167,982776
"tonge",32,230.539,177,256799
"tonge",33,102.879,157,59278
"tonge",34,159.181,172,163785
"tonge",35,109.282,146,63489
"tonge",36,87.4572,163,19140
"tonge",37,94.3678,166,35154
"tonge",38,180.218,152,211322
"tonge",39,238.571,180,281021
"tonge",40,299.695,159,395057
